bin	ESO.all.snps	GBM.all.snps	lung.all.snps	liver.all.snps	mel.all.snps	MM.all.snp	CRC.all.snp	LUSC.all.snp	ESO.1060.ESO.all.snps	ESO.1163.ESO.all.snps	ESO.130.ESO.all.snps	ESO.409.ESO.all.snps	ESO.682.ESO.all.snps	ESO.721.ESO.all.snps	ESO.774.ESO.all.snps	ESO.838.ESO.all.snps	ESO.913.ESO.all.snps	TCGA.34.2596.LUSC.all.snps	TCGA.34.2600.LUSC.all.snps	TCGA.43.3394.LUSC.all.snps	TCGA.56.1622.LUSC.all.snps	TCGA.60.2711.LUSC.all.snps	TCGA.60.2713.LUSC.all.snps	TCGA.60.2722.LUSC.all.snps	TCGA.60.2724.LUSC.all.snps	TCGA.60.2726.LUSC.all.snps	TCGA.66.2756.LUSC.all.snps	TCGA.66.2757.LUSC.all.snps	TCGA.66.2766.LUSC.all.snps	TCGA.06.0145.GBM.all.snps	TCGA.06.0152.GBM.all.snps	TCGA.06.0155.GBM.all.snps	TCGA.06.0185.GBM.all.snps	TCGA.06.0188.GBM.all.snps	TCGA.06.0648.GBM.all.snps	TCGA.14.0786.GBM.all.snps	MM.0191.snp	MM.0242.snp	MM.0309.snp	MM.0319.snp	MM.0332.snp	MM.0335.snp	MM.0338.snp	MM.0343.snp	MM.0344.snp	MM.0356.snp	MM.0375.snp	MM.0376.snp	MM.0383.snp	MM.0387.snp	MM.0389.snp	MM.0390.snp	MM.0392.snp	MM.0406.snp	MM.0408.snp	MM.0412.snp	MM.0421.snp	MM.0425.snp	MM.0447.snp	CRC.0002.snp	CRC.0003.snp	CRC.0004.snp	CRC.0005.snp	CRC.0006.snp	CRC.0007.snp	CRC.0008.snp	CRC.0009.snp	CRC.0010.snp	all.RK032.snps	all.RK001.snps	all.RK027.snps	all.RK015.snps	all.RK067.snps	all.RK046.snps	all.RK031.snps	all.RK002.snps	all.RK084.snps	all.RK041.snps	all.RK006.snps	all.RK035.snps	all.RK033.snps	all.RK099.snps	all.RK029.snps	all.RK056.snps	all.RK022.snps	all.RK083.snps	all.RK042.snps	all.RK025.snps	all.RK026.snps	all.RK126.snps	all.RK048.snps	all.RK047.snps	all.RK051.snps	all.RK075.snps	all.RK107.snps	all.RK106.snps	all.RK019.snps	all.RK003.snps	all.RK086.snps	all.RK092.snps	all.RK020.snps	all.RK037.snps	all.RK054.snps	all.RK023.snps	all.RK007.snps	all.RK137.snps	all.RK133.snps	all.RK024.snps	all.RK098.snps	all.RK109.snps	all.RK016.snps	all.RK050.snps	all.RK004.snps	all.RK063.snps	all.RK010.snps	all.RK069.snps	all.RK108.snps	all.RK012.snps	all.RK089.snps	all.RK100.snps	all.RK021.snps	all.RK130.snps	all.RK036.snps	all.RK079.snps	all.RK049.snps	all.RK141.snps	all.RK068.snps	all.RK055.snps	all.RK034.snps	all.RK138.snps	all.RK005.snps	all.RK018.snps	all.ME001.Tumor.snps	all.ME002.Tumor.snps	all.ME007.Tumor.snps	all.ME011.Tumor.snps	all.ME016.Tumor.snps	all.ME018.Tumor.snps	all.ME020.Tumor.snps	all.ME021.Tumor.snps	all.ME024.Tumor.snps	all.ME029.Tumor.snps	all.ME030.Tumor.snps	all.ME035.Tumor.snps	all.ME037.Tumor.snps	all.ME041.Tumor.snps	all.ME043.Tumor.snps	all.ME044.Tumor.snps	all.ME048.Tumor.snps	all.ME049.Tumor.snps	all.ME050.Tumor.snps	all.MEL.0009.Tumor.snps	all.MEL.0012.Tumor.snps	all.MEL.0015.Tumor.snps	all.MEL.0032.Tumor.snps	all.MEL.0045.Tumor.snps	all.Mel_BRAFi_02_PRE.Tumor.snps	all.LUAD.AEIUF.Tumor.snps	all.LUAD.D02326.Tumor.snps	all.LUAD.E00934.Tumor.snps	all.LUAD.E01014.Tumor.snps	all.LUAD.E01278.Tumor.snps	all.LUAD.FH5PJ.Tumor.snps	all.LUAD.QY22Z.Tumor.snps	all.LUAD.S00488.Tumor.snps	all.LUAD.S01302.Tumor.snps	all.LUAD.S01331.Tumor.snps	all.LUAD.S01341.Tumor.snps	all.LUAD.S01345.Tumor.snps	all.LUAD.S01346.Tumor.snps	all.LUAD.S01356.Tumor.snps	all.LUAD.S01381.Tumor.snps	all.LUAD.S01404.Tumor.snps	all.LUAD.S01405.Tumor.snps	all.LUAD.S01467.Tumor.snps	all.LUAD.S01478.Tumor.snps	all.LUAD.U6SJ7.Tumor.snps	all.LU.A08.43.Tumor.snps	all.LUAD.2GUGK.Tumor.snps	all.LUAD.5V8LT.Tumor.snps	all.LUAD.E01317.Tumor.snps
chr11.46	40	13	379	147	505	49	39	164	2	4	7	1	4	12	1	3	6	12	12	6	13	6	11	11	6	18	29	9	16	5	2	1	1	0	3	1	4	2	1	5	2	3	4	1	0	1	2	0	0	4	4	3	4	1	1	1	3	2	1	3	2	6	3	3	7	5	8	2	4	1	2	0	2	2	2	6	2	5	10	8	0	4	3	3	1	1	1	2	1	3	2	5	0	3	5	2	2	0	2	2	1	2	3	3	5	3	2	1	3	0	4	2	3	0	3	2	1	1	3	2	4	3	0	1	1	2	0	2	3	0	1	0	15	34	11	16	22	8	11	4	17	34	12	8	17	6	35	16	5	27	19	104	12	0	14	16	36	6	4	20	5	14	6	18	24	32	10	2	8	25	20	11	8	4	7	25	9	10	9	87	15
chr11.47	38	13	201	142	383	43	21	97	6	3	4	3	4	9	2	4	3	6	4	5	2	4	10	7	5	6	23	7	12	3	1	3	0	3	1	2	7	1	4	1	1	3	1	1	0	2	1	0	1	0	6	0	3	1	1	4	1	3	1	1	1	3	2	0	1	5	4	4	5	4	8	0	4	5	1	1	3	2	10	6	1	2	1	3	3	7	2	3	0	2	4	0	2	1	4	5	1	0	1	2	0	3	1	7	0	2	2	3	2	1	0	4	2	0	0	0	3	3	1	0	3	1	0	1	2	2	0	0	2	3	1	0	11	16	2	22	12	7	9	3	15	16	11	11	9	5	28	17	12	18	7	83	7	0	15	17	16	1	4	5	6	4	3	13	16	12	8	5	14	14	5	5	6	5	0	7	8	6	9	40	5
chr11.53	185	45	970	461	1056	111	58	602	19	44	12	8	32	18	18	21	13	23	33	51	56	18	37	60	64	60	70	37	69	13	7	7	4	5	5	4	8	2	7	2	1	5	5	2	7	6	2	4	9	3	7	3	5	2	3	6	5	8	9	5	5	5	9	6	4	11	10	3	11	21	16	6	6	12	7	13	2	18	22	25	4	6	1	10	10	8	4	5	5	9	8	5	10	4	8	10	11	3	11	8	3	2	3	16	8	6	1	4	5	4	5	6	12	4	13	4	5	1	8	5	14	1	3	12	0	8	5	0	3	1	1	0	23	54	4	32	36	30	18	14	77	37	46	25	31	26	72	81	13	89	65	97	24	5	11	31	94	21	7	55	9	32	28	77	58	57	45	11	17	73	62	23	32	19	18	60	19	4	36	180	27
chr11.54	52	20	296	181	768	50	28	159	7	3	6	5	3	9	8	7	4	8	12	8	16	3	10	26	11	13	18	3	19	2	4	5	2	4	2	1	5	1	2	3	2	1	1	1	4	3	1	1	1	1	6	1	2	0	2	2	3	1	6	4	2	2	2	2	3	4	7	2	1	7	6	4	2	6	5	7	5	7	6	7	1	3	1	1	3	3	2	0	2	8	2	4	1	6	2	2	4	1	1	7	1	2	0	7	5	2	1	0	3	1	0	3	2	2	2	2	3	3	4	2	6	0	0	6	0	2	1	1	1	1	1	0	43	37	5	23	28	28	11	9	41	41	28	20	24	20	46	37	13	36	37	104	25	2	15	15	59	5	5	13	5	9	8	18	15	20	14	2	9	19	20	10	8	3	12	21	6	1	14	50	9
chr11.55	60	12	668	224	863	58	37	340	6	9	6	9	10	12	1	4	3	12	21	27	24	9	36	22	33	35	44	19	49	2	2	4	2	0	2	0	1	2	1	4	1	3	3	3	3	3	0	1	2	4	6	4	2	2	1	4	4	4	0	4	3	2	7	2	4	5	6	4	5	7	9	6	9	9	8	4	2	5	11	15	2	0	0	3	5	2	1	2	4	11	5	5	2	2	7	3	5	1	5	1	1	0	4	7	2	3	3	0	6	2	4	4	4	1	2	1	1	0	4	3	6	2	0	3	2	1	1	0	1	0	0	0	32	50	3	25	30	30	33	10	41	45	25	31	21	17	50	37	10	56	46	110	24	0	18	26	72	11	4	50	10	14	27	29	40	37	26	9	12	46	36	19	14	17	17	45	12	8	20	147	18
chr11.56	56	24	492	137	605	69	38	253	2	5	11	7	6	10	4	7	4	19	10	16	25	9	15	29	35	30	13	10	31	6	2	4	1	1	5	5	3	3	0	1	2	1	1	2	0	1	1	2	1	1	2	5	34	0	2	1	5	0	1	3	3	6	8	1	0	7	9	1	4	1	6	1	3	4	1	0	1	8	2	2	2	1	0	3	5	2	1	1	4	8	4	4	2	2	0	2	5	1	5	2	2	1	0	9	1	0	1	0	2	1	3	3	2	2	2	1	0	3	3	3	2	0	1	2	0	1	1	1	1	2	0	0	17	28	3	25	14	20	12	5	34	24	20	17	21	13	25	37	12	49	18	112	13	1	14	19	42	7	4	15	7	19	15	27	24	22	11	5	26	45	32	5	16	8	10	23	10	6	16	124	15
chr11.57	42	33	601	282	632	44	32	277	5	5	1	2	2	11	2	7	7	19	18	15	27	10	14	25	32	21	25	19	34	5	5	6	3	2	10	2	5	0	1	1	2	3	0	3	0	2	0	1	3	1	5	0	0	2	3	6	1	3	2	1	4	2	3	4	4	5	7	2	7	7	15	6	1	8	5	4	5	13	19	15	2	0	3	8	5	1	3	3	3	9	10	4	4	2	4	3	12	2	5	2	2	2	5	9	4	3	3	2	3	4	0	3	9	4	6	2	2	3	4	5	6	1	0	1	0	3	0	1	1	1	2	2	22	40	7	28	16	13	15	6	25	38	16	17	14	10	36	36	9	28	24	106	18	0	11	14	58	16	3	35	9	18	11	30	33	34	28	6	21	41	26	12	20	16	14	39	9	8	19	128	25
chr11.6	141	22	626	278	1118	53	74	350	19	29	9	16	18	16	17	9	8	18	26	25	18	13	23	42	25	54	39	12	32	4	4	4	0	5	3	2	2	4	2	4	0	6	1	3	2	2	2	0	1	1	3	4	1	2	3	1	3	2	4	3	6	6	9	10	14	10	12	4	7	9	8	4	2	9	5	6	3	9	26	7	3	7	1	8	9	4	0	2	3	5	8	1	5	5	2	4	7	3	5	4	5	3	1	10	8	2	0	1	1	1	3	4	6	2	2	3	2	4	2	4	10	2	2	5	1	3	3	0	2	4	1	0	28	66	6	26	40	25	29	5	54	53	39	30	45	22	67	86	22	94	56	127	24	3	13	34	99	9	7	29	15	15	14	38	28	35	21	5	18	25	48	8	21	18	17	36	17	5	13	163	21
chr11.61	34	10	276	112	498	45	22	111	4	2	5	3	1	8	2	1	8	5	9	5	5	6	7	12	14	9	17	7	11	0	2	1	2	1	1	3	3	5	1	1	0	4	0	1	2	4	4	0	1	1	3	2	2	0	3	1	2	4	1	0	1	3	0	2	5	1	5	5	1	2	4	0	3	2	5	1	0	2	3	7	3	0	0	2	2	2	1	1	3	5	2	1	3	2	4	4	3	3	6	1	2	1	1	2	3	1	0	2	2	1	1	2	0	1	2	0	0	0	2	1	2	0	0	3	0	0	2	0	0	2	0	1	11	36	0	31	14	25	9	8	16	44	9	13	18	10	31	23	7	30	10	75	8	1	10	15	31	8	4	8	5	5	6	15	20	20	6	10	24	13	12	6	8	15	3	10	5	2	9	54	8
chr11.62	35	16	239	115	401	41	28	76	2	3	5	3	6	7	3	4	2	11	2	3	6	1	4	8	9	11	6	4	8	4	3	2	2	1	0	4	5	1	1	1	2	1	0	1	0	2	1	7	3	0	5	0	1	0	0	1	4	1	4	2	5	6	2	0	5	4	3	1	1	3	6	3	2	2	1	6	1	4	2	3	0	2	0	4	0	4	2	1	2	7	1	1	5	0	4	1	1	1	4	2	0	2	0	2	2	0	1	0	6	1	1	1	6	0	1	0	0	0	3	2	2	4	0	1	0	2	0	1	0	1	0	0	12	22	0	22	17	10	12	7	20	16	14	5	11	10	22	12	10	24	14	80	5	2	9	10	21	5	5	5	5	1	6	10	4	14	6	4	26	10	4	8	6	6	16	21	7	5	4	57	4
chr11.69	29	9	258	133	483	39	22	87	2	7	5	2	3	5	1	4	0	6	6	8	6	5	2	6	12	3	12	3	13	0	1	2	1	2	1	2	1	2	2	2	1	2	0	2	0	1	1	3	0	5	3	1	2	2	2	3	3	1	0	2	5	0	5	1	1	2	4	2	2	6	3	0	5	4	3	2	2	2	4	4	1	4	2	3	3	1	2	2	2	2	4	4	4	1	1	2	3	2	3	2	2	0	0	7	1	1	0	1	2	1	1	1	5	3	0	0	3	1	1	2	1	1	2	3	1	0	1	2	2	1	1	1	22	18	5	18	11	20	12	5	17	29	19	12	12	13	36	20	8	23	20	89	5	1	17	7	27	9	3	9	3	5	5	15	8	10	9	6	21	11	11	10	9	14	4	12	6	7	16	47	8
chr11.7	77	13	466	152	597	27	34	211	7	15	5	4	6	22	9	8	1	16	10	14	13	9	18	24	10	21	27	17	32	4	1	1	1	1	2	3	0	0	2	1	0	3	1	3	0	0	1	1	1	1	3	0	1	2	3	1	2	1	0	1	6	4	5	2	7	2	4	3	2	6	4	3	2	5	1	2	1	3	9	6	2	4	1	5	3	4	1	3	2	2	3	2	0	2	2	0	0	1	1	1	0	0	1	8	3	1	1	2	1	3	3	5	5	2	3	0	0	2	1	3	4	2	2	6	4	2	1	0	1	2	0	1	12	42	1	20	22	18	10	6	32	29	23	20	18	12	42	16	9	39	18	105	13	3	15	15	46	9	6	20	7	14	14	29	34	23	11	5	12	29	35	7	14	16	20	31	4	5	11	101	9
chr11.70	35	8	158	132	425	29	32	61	3	2	2	4	4	8	6	5	1	2	9	3	5	4	3	2	7	2	7	3	11	3	0	1	1	0	2	1	3	1	1	1	1	1	2	2	2	0	0	0	0	1	0	0	1	1	1	5	3	2	1	2	3	2	1	0	9	6	5	4	4	5	9	2	1	5	1	2	0	4	9	6	2	0	1	3	3	2	2	2	4	0	1	2	1	2	1	4	3	1	4	1	0	3	0	7	4	2	1	3	3	3	1	1	5	0	1	1	2	0	1	0	1	1	0	2	1	1	1	0	0	0	0	0	14	13	2	32	13	9	14	8	22	19	13	10	17	7	20	14	5	22	15	93	6	0	6	9	21	7	3	4	4	4	2	12	15	9	7	2	16	7	8	8	2	4	4	5	4	6	4	18	3
chr11.71	45	3	227	133	503	36	29	98	3	4	3	1	5	8	7	10	4	5	9	5	7	7	7	4	9	4	9	4	17	1	0	0	0	0	2	0	1	0	0	1	1	5	3	1	0	2	0	2	1	1	6	1	1	1	1	3	3	2	0	1	1	1	2	1	5	6	8	4	2	3	7	7	0	2	0	0	3	4	8	4	1	2	4	5	3	1	3	1	1	3	1	1	4	2	1	3	5	1	3	1	1	1	0	9	2	0	2	3	0	0	5	2	3	2	3	1	0	2	1	1	2	0	0	5	1	0	1	0	0	0	0	0	21	27	7	16	14	13	8	8	22	24	20	13	10	11	27	22	8	22	17	109	5	0	18	10	21	10	4	11	1	6	5	19	8	14	9	2	24	11	13	3	3	6	9	9	7	2	9	34	8
chr11.72	28	11	231	128	431	39	26	99	0	4	1	2	1	11	4	3	2	4	7	7	7	8	6	3	16	3	6	6	10	3	2	3	0	1	2	0	0	1	1	5	1	4	1	3	3	0	2	0	1	1	4	1	2	2	0	4	3	0	0	2	1	1	1	1	1	9	6	4	2	3	4	2	2	8	0	3	1	3	7	6	2	2	1	3	4	4	0	4	3	4	4	1	1	1	0	4	0	2	4	3	1	2	0	8	1	1	1	0	2	1	3	1	3	0	4	4	1	1	3	0	1	0	1	0	0	0	0	1	1	0	0	0	16	18	3	23	12	12	12	12	21	21	10	9	11	6	31	18	7	24	13	85	6	2	12	15	19	7	4	17	3	6	4	12	11	8	9	1	18	17	11	7	5	5	10	18	5	4	6	35	8
chr11.73	33	8	275	122	445	43	26	116	0	6	2	4	3	6	4	6	2	9	7	6	7	7	13	7	12	10	9	6	11	0	2	4	0	0	1	1	3	0	1	1	1	1	4	6	0	1	0	2	3	3	7	1	2	0	2	2	0	2	1	0	1	4	4	0	6	4	4	3	2	3	8	5	1	6	1	2	3	5	4	1	1	0	1	5	4	4	0	1	2	4	2	3	3	1	1	1	1	0	5	5	2	1	2	4	2	2	0	1	1	1	1	1	2	1	1	0	3	2	2	0	0	0	2	3	1	0	1	0	1	0	0	0	10	14	0	18	19	11	5	5	21	26	15	11	16	8	27	20	8	30	12	84	8	0	8	14	35	4	2	9	3	13	12	10	14	17	13	5	21	18	19	10	9	7	7	8	3	4	12	46	9
chr11.74	47	8	235	133	438	51	39	101	8	4	1	2	5	14	6	6	1	7	10	4	9	3	6	7	9	18	7	1	12	0	1	2	0	2	1	2	4	2	1	3	2	2	1	2	2	3	2	3	1	0	5	3	2	2	3	3	1	1	3	3	2	8	1	1	4	6	10	4	1	2	6	2	2	5	4	2	2	9	6	5	0	4	0	3	4	2	1	1	2	4	1	2	3	1	6	2	0	2	4	5	0	1	1	4	3	2	3	1	2	0	2	1	1	0	3	0	2	4	1	3	0	1	1	1	0	1	1	1	0	0	0	0	16	23	6	16	22	11	8	7	15	23	7	15	11	8	21	11	4	22	17	97	5	0	16	11	29	4	1	10	3	7	7	13	12	12	13	7	14	10	13	4	5	8	8	7	6	4	7	49	11
chr11.75	54	11	241	155	493	51	27	136	2	2	9	2	5	14	11	6	3	8	4	8	10	7	6	11	19	11	8	8	26	1	1	1	2	0	1	5	5	0	3	3	1	2	6	4	0	4	0	2	2	2	7	0	0	0	2	3	2	0	3	7	1	3	5	2	1	1	5	2	0	9	6	6	3	7	2	1	4	2	10	5	0	1	4	3	1	1	2	3	4	2	2	0	2	0	4	2	1	3	5	1	2	2	3	6	3	2	1	0	1	2	2	1	6	1	4	0	2	4	1	1	1	1	2	4	0	1	3	1	1	1	0	0	18	24	1	26	15	14	7	1	18	36	11	16	13	12	34	28	8	16	13	94	9	3	16	11	39	6	3	9	6	10	5	13	13	12	4	5	7	18	12	2	5	12	5	10	8	5	8	51	12
chr11.76	111	7	462	363	915	70	66	153	6	15	10	18	8	25	8	8	13	6	9	10	12	4	14	7	17	10	25	5	23	0	0	0	4	1	0	2	5	4	1	4	1	4	3	5	0	5	1	1	0	2	9	4	1	2	2	3	7	0	6	2	10	2	6	5	10	6	21	4	7	16	13	12	8	11	2	10	5	12	27	17	1	4	6	10	5	3	7	9	2	6	5	4	12	8	7	8	5	0	9	9	2	3	4	15	5	7	5	1	2	2	2	7	7	4	8	3	1	4	2	3	0	5	1	4	0	2	1	0	2	0	0	1	23	54	2	20	37	37	22	7	55	49	34	19	30	21	59	48	13	79	33	110	22	2	36	19	71	12	4	30	9	12	14	27	23	34	8	10	23	21	22	11	13	6	6	16	13	3	21	113	11
chr11.77	69	17	702	537	1462	113	63	278	8	11	7	5	8	14	6	6	4	14	13	12	25	10	20	17	40	24	26	21	39	1	1	1	3	5	3	3	2	14	2	5	1	6	6	10	6	7	1	6	1	3	8	6	2	1	10	3	2	6	5	3	4	9	5	2	6	15	17	2	12	26	16	12	10	20	7	14	8	13	29	25	7	5	5	6	11	9	4	5	4	11	12	9	18	9	10	4	13	1	20	11	6	4	4	18	5	6	4	3	5	6	4	6	12	2	7	4	8	6	9	7	10	7	1	13	0	7	3	0	1	0	1	2	48	108	0	33	47	56	38	12	90	69	47	34	70	26	107	61	26	144	72	137	33	2	17	50	133	11	1	39	10	20	18	45	34	45	34	3	10	33	43	16	24	15	11	28	21	7	20	198	16
chr11.78	150	14	1026	512	1317	93	67	389	9	29	12	23	22	18	15	10	12	23	24	26	32	15	24	24	39	43	39	27	45	4	2	2	1	3	1	1	3	8	0	4	2	8	2	5	2	2	4	2	5	5	13	3	3	1	3	5	2	4	7	2	8	11	6	5	6	10	16	3	8	17	21	15	11	18	7	11	6	13	37	29	2	9	6	19	11	1	4	3	5	7	11	3	10	2	7	12	6	4	15	7	3	9	5	16	13	4	5	9	2	3	6	10	11	2	13	7	6	3	9	3	2	13	1	8	2	3	3	0	0	2	1	3	53	72	3	27	39	46	44	10	100	64	46	37	44	35	77	64	27	132	62	114	38	3	13	29	130	27	5	55	20	53	27	55	71	59	31	2	20	72	52	17	41	27	24	32	23	2	49	232	30
chr11.79	140	13	820	319	1088	59	57	293	13	27	14	17	28	12	9	9	11	18	16	19	28	12	20	13	30	24	39	16	28	2	3	0	2	0	2	4	1	5	0	2	0	8	4	4	1	3	0	4	0	1	6	1	2	0	3	7	2	2	3	7	2	3	10	5	9	7	11	3	5	13	6	10	4	6	5	4	4	11	19	12	2	3	2	13	9	4	5	3	3	1	13	3	6	1	7	9	2	2	11	3	3	1	4	15	8	4	6	5	2	5	1	3	8	4	2	1	2	4	11	4	5	5	1	6	0	2	1	2	3	0	0	0	41	62	2	30	34	32	32	7	82	46	36	38	26	34	66	60	28	97	52	137	23	2	4	11	91	14	5	57	8	34	27	46	41	49	19	7	16	53	39	21	39	14	15	27	24	7	26	209	23
chr11.8	62	6	482	185	852	43	51	184	7	16	4	3	7	6	6	8	5	9	8	11	5	2	15	17	15	22	36	7	22	1	1	1	0	0	1	2	1	1	1	2	1	3	3	2	2	0	0	1	2	1	8	0	1	0	1	6	2	4	1	2	5	5	8	1	8	13	5	4	5	7	4	7	3	5	2	5	0	8	7	7	2	1	3	8	2	0	1	2	2	6	1	2	2	4	1	3	2	7	8	3	0	4	4	10	6	0	0	3	5	2	3	1	2	1	4	2	0	2	1	1	2	1	0	3	0	1	2	0	0	3	1	1	20	52	2	29	35	23	21	9	41	52	27	16	24	23	50	45	18	65	34	125	17	3	16	24	58	11	2	23	6	23	13	38	37	24	22	7	24	14	13	16	8	10	6	26	9	6	21	108	15
chr11.80	70	12	423	156	509	45	48	169	1	19	6	8	10	9	8	5	4	10	3	16	17	6	13	17	13	12	19	8	29	2	2	3	1	1	0	3	3	2	0	3	1	6	3	1	2	5	0	1	2	0	5	4	0	1	1	3	0	0	2	4	4	3	8	3	5	8	9	4	2	3	7	0	3	5	2	7	3	1	7	7	2	1	3	7	5	2	5	1	1	2	2	1	1	1	5	2	2	1	8	3	2	1	1	3	6	4	2	0	2	1	2	3	4	0	0	3	2	1	2	3	0	2	1	3	0	1	0	1	3	1	0	0	12	30	7	12	14	10	12	9	31	28	14	15	14	16	30	29	6	36	18	87	10	0	15	1	32	6	3	14	10	13	7	27	26	25	6	8	14	36	27	5	8	6	14	12	6	5	18	111	16
chr11.82	92	15	450	187	773	51	35	252	4	23	8	8	14	15	3	13	4	4	22	15	18	9	15	19	39	21	16	23	31	3	3	1	2	0	4	2	5	1	2	4	0	1	5	4	2	4	1	1	2	2	4	1	2	0	3	2	3	1	1	4	5	4	5	1	2	5	7	2	1	8	5	0	1	6	2	4	5	6	8	12	0	2	4	2	8	1	2	6	2	2	6	1	8	1	3	4	2	1	4	4	4	1	1	8	3	0	1	2	7	2	1	3	1	4	0	1	2	1	5	3	4	2	1	2	1	3	0	0	1	1	1	0	25	31	1	19	29	23	22	11	47	38	23	22	18	15	61	45	16	63	38	113	18	1	8	11	52	10	9	21	7	10	14	44	21	23	18	12	21	30	27	4	15	18	10	7	11	3	12	88	15
chr11.83	33	7	319	146	454	48	24	117	2	6	4	2	5	7	3	3	1	4	11	6	15	4	9	9	12	7	15	10	6	0	1	2	0	2	1	1	1	0	5	1	1	6	4	4	2	2	2	1	1	4	3	0	1	1	2	2	4	0	1	5	3	0	5	2	1	5	2	1	3	4	5	0	2	3	4	2	5	3	10	8	1	3	0	2	2	3	0	2	0	0	9	1	2	1	2	4	3	3	2	3	3	2	1	3	2	2	1	1	4	2	4	3	5	1	1	0	2	5	3	0	0	2	0	2	1	1	0	0	1	1	1	0	12	9	4	17	20	13	10	7	22	29	17	14	8	15	27	16	11	18	14	107	5	1	9	5	18	8	3	12	4	5	4	24	15	33	7	12	34	25	17	5	6	8	6	8	9	5	7	55	7
chr11.84	74	11	475	217	482	61	50	192	2	18	9	4	5	13	9	6	8	5	7	10	25	9	13	7	25	13	16	12	34	1	2	2	2	2	1	1	5	2	3	2	1	2	3	0	1	1	2	5	2	2	8	4	0	1	1	7	2	3	4	5	3	3	8	4	8	7	10	2	4	7	7	0	2	5	0	2	5	7	13	5	1	1	2	11	2	4	0	2	3	3	6	0	3	2	10	4	5	1	9	6	1	1	1	9	4	0	2	3	3	4	3	2	2	3	4	5	2	6	6	4	3	3	1	2	1	2	0	1	3	1	2	1	14	22	1	17	18	11	13	15	23	27	22	14	17	14	31	26	7	16	21	87	10	3	4	9	28	15	2	15	5	16	17	40	31	31	18	3	22	25	37	11	14	10	8	19	4	5	20	98	9
chr11.88	105	40	962	356	1311	123	92	405	6	14	12	11	12	17	8	14	11	17	33	30	42	15	20	17	58	38	57	25	27	10	8	7	6	5	4	0	10	3	4	2	5	8	5	7	7	6	6	4	2	3	9	8	6	0	3	10	4	4	7	12	7	8	12	6	10	12	24	1	7	10	24	0	13	15	6	9	5	8	11	14	2	4	2	9	9	2	5	6	7	4	16	3	8	8	3	13	3	3	16	6	7	3	3	6	4	0	4	2	6	3	1	5	8	6	2	0	2	3	6	3	6	5	3	8	2	1	2	0	5	0	0	0	50	67	2	35	56	53	39	11	93	49	44	37	37	35	83	86	24	120	65	152	19	1	7	28	106	19	0	57	18	25	21	85	61	67	27	4	21	73	53	9	21	22	15	43	16	4	39	246	16
chr11.89	98	12	816	314	961	114	58	278	6	18	8	10	11	15	14	9	7	15	26	21	21	12	15	12	36	14	55	18	20	2	2	2	1	0	2	3	5	9	4	6	3	6	3	7	8	5	4	4	4	1	8	6	3	1	4	5	7	5	6	5	4	7	9	5	7	9	10	2	10	10	12	0	8	12	3	11	7	10	27	16	2	5	3	7	3	2	1	2	3	6	14	2	8	4	2	2	4	2	8	8	4	1	3	12	8	2	3	1	4	2	0	3	7	3	2	1	2	6	5	1	6	4	3	8	1	3	0	0	2	0	2	1	37	56	0	29	33	31	20	4	61	41	30	37	39	17	86	34	25	52	44	160	23	0	5	12	79	12	3	40	15	37	23	43	41	45	29	6	20	51	29	17	27	15	17	26	17	2	32	251	18
chr11.9	54	6	301	193	626	50	41	136	7	7	5	5	6	8	8	5	3	8	12	9	8	4	15	10	11	8	14	9	19	1	1	1	1	1	1	0	1	0	4	4	1	3	3	1	0	0	3	2	0	3	8	2	2	1	2	2	4	2	2	1	10	0	9	4	4	5	6	2	3	6	9	6	4	9	5	5	0	10	12	6	2	0	2	6	7	3	0	4	1	5	6	5	5	2	1	1	3	2	9	2	0	1	0	6	3	2	1	2	3	5	2	0	4	1	3	0	1	2	0	1	4	1	1	3	0	2	2	0	2	0	0	0	20	32	5	24	24	20	12	6	26	36	13	28	9	22	36	35	10	46	27	92	8	2	16	13	43	9	3	13	10	10	7	20	13	22	9	4	10	10	11	8	9	6	6	18	8	4	18	64	9
chr11.90	38	18	406	133	634	47	32	155	0	6	4	6	3	9	3	6	1	5	9	18	7	9	15	9	19	6	24	15	9	3	3	7	1	2	1	1	2	1	1	2	1	3	5	2	2	4	0	1	1	1	8	3	1	1	0	3	2	1	2	2	4	3	6	1	5	4	4	3	2	6	7	0	4	1	4	5	1	7	6	1	2	1	2	4	1	2	2	0	2	3	4	1	3	3	2	2	0	0	1	3	0	1	2	4	0	5	1	5	2	1	1	1	8	2	1	0	0	1	4	1	1	2	1	1	1	2	1	0	1	0	1	0	17	35	0	11	30	20	19	6	26	31	14	16	12	9	41	31	11	36	29	136	16	1	10	17	51	4	1	18	7	11	9	30	11	16	12	5	19	27	26	11	8	6	10	11	8	4	15	117	20
